MMM,S&P 500
A,S&P 500
AA,S&P 500
AAPL,S&P 500
ABC,S&P 500
ABT,S&P 500
ACE,S&P 500
ACN,"S&P 500,401k,PARWX"
ADBE,"PARMX,S&P 500,PARWX,401k"
ADI,S&P 500
ADM,S&P 500
ADP,S&P 500
ADSK,"S&P 500,PARWX,401k"
AEE,S&P 500
AEP,S&P 500
AES,S&P 500
AET,S&P 500
AFJAX,S&P 500
AFL,S&P 500
AGN,S&P 500
AIG,S&P 500
AIV,S&P 500
AIZ,S&P 500
AKAM,S&P 500
ALL,S&P 500
ALTR,S&P 500
ALXN,S&P 500
AMAT,"PARWX,401k,S&P 500, PARMX"
AMD,S&P 500
AMGN,S&P 500
AMP,S&P 500
AMT,S&P 500
AMZN,S&P 500
AN,S&P 500
ANF,S&P 500
ANR,S&P 500
AON,S&P 500
APA,S&P 500
APC,S&P 500
APD,S&P 500
APH,S&P 500
APOL,S&P 500
ARG,S&P 500
ATI,S&P 500
AVB,S&P 500
AVP,S&P 500
AVY,S&P 500
AXP,S&P 500
AZO,S&P 500
BA,S&P 500
BAC,S&P 500
BAX,S&P 500
BBBY,S&P 500
BBT,S&P 500
BBY,S&P 500
BCR,S&P 500
BDX,S&P 500
BEAM,S&P 500
BEN,S&P 500
BF.B,S&P 500
BHI,S&P 500
BIG,S&P 500
BIIB,S&P 500
BIO,"PARWX,401k"
BK,S&P 500
BLK,S&P 500
BLL,S&P 500
BMC,S&P 500
BMS,S&P 500
BMY,S&P 500
BRCD,"PARWX,401k"
BRCM,S&P 500
BRK.B,S&P 500
BSX,S&P 500
BTU,S&P 500
BWA,S&P 500
BXP,S&P 500
C,S&P 500
CA,S&P 500
CAG,S&P 500
CAH,S&P 500
CAM,S&P 500
CAT,S&P 500
CAUSX,401k
CB,S&P 500
CBE,S&P 500
CBG,S&P 500
CBS,S&P 500
CCE,S&P 500
CCI,S&P 500
CCL,S&P 500
CELG,S&P 500
CERN,S&P 500
CF,S&P 500
CFN,S&P 500
CHK,S&P 500
CHKP,"PARWX,401k"
CHRW,"PARMX,S&P 500,401k,PARWX"
CI,"S&P 500,401k,PARWX"
CINF,S&P 500
CL,S&P 500
CLF,S&P 500
CLX,S&P 500
CMA,S&P 500
CMCSA,S&P 500
CME,S&P 500
CMG,S&P 500
CMI,S&P 500
CMP,"PARMX,401k"
CMS,S&P 500
CNP,S&P 500
CNX,S&P 500
COF,"S&P 500,PARMX,401k,PARWX"
COG,S&P 500
COH,"S&P 500,PARMX,401k"
COL,S&P 500
COP,S&P 500
COST,"PARWX,S&P 500,401k"
COV,S&P 500
CPB,S&P 500
CRM,S&P 500
CSC,S&P 500
CSCO,"PARWX,S&P 500,401k"
CSX,S&P 500
CTAS,S&P 500
CTL,S&P 500
CTSH,S&P 500
CTXS,S&P 500
CVC,S&P 500
CVH,S&P 500
CVS,S&P 500
CVX,S&P 500
CXO,"PARMX,401k"
D,S&P 500
DD,S&P 500
DE,"PARWX,S&P 500,401k"
DELL,S&P 500
DF,S&P 500
DFS,S&P 500
DGX,S&P 500
DHI,S&P 500
DHR,S&P 500
DIS,S&P 500
DISCA,S&P 500
DLTR,S&P 500
DNB,S&P 500
DNR,S&P 500
DO,S&P 500
DOV,S&P 500
DOW,S&P 500
DPS,S&P 500
DRI,S&P 500
DTE,S&P 500
DTV,S&P 500
DUK,S&P 500
DV,S&P 500
DVA,S&P 500
DVN,S&P 500
EA,S&P 500
EBAY,"PARWX,S&P 500,401k"
ECL,"PARMX,S&P 500,401k"
ED,S&P 500
EFX,"PARMX,S&P 500,401k"
EGN,"PARMX,S&P 500,401k"
EIX,S&P 500
EL,S&P 500
EMC,S&P 500
EMN,S&P 500
EMR,S&P 500
EOG,S&P 500
EQR,S&P 500
EQT,S&P 500
EQTIX,401k
ESRX,S&P 500
ESV,S&P 500
ETFC,S&P 500
ETN,S&P 500
ETR,S&P 500
EW,S&P 500
EXC,S&P 500
EXPD,S&P 500
EXPE,S&P 500
F,S&P 500
FAST,S&P 500
FCX,S&P 500
FDO,S&P 500
FDX,S&P 500
FE,S&P 500
FFIV,S&P 500
FHN,S&P 500
FHN,"PARMX,PARWX,401k,S&P 500"
FII,S&P 500
FIS,S&P 500
FISV,"PARMX,S&P 500,401k"
FITB,S&P 500
FLIR,S&P 500
FLR,S&P 500
FLS,S&P 500
FMC,S&P 500
FOSL,S&P 500
FRX,S&P 500
FSLR,S&P 500
FTI,S&P 500
FTR,S&P 500
GAS,"PARMX,S&P 500,401k"
GCI,S&P 500
GD,S&P 500
GE,S&P 500
GILD,"PARWX,S&P 500,401k"
GIS,S&P 500
GLW,"PARWX,S&P 500,401k"
GME,S&P 500
GNW,S&P 500
GOOG,"PARWX,S&P 500,401k"
GPC,S&P 500
GPS,S&P 500
GS,S&P 500
GT,S&P 500
GWW,S&P 500
HAL,S&P 500
HAR,S&P 500
HAS,S&P 500
HBAN,S&P 500
HCBK,S&P 500
HCN,S&P 500
HCP,S&P 500
HD,S&P 500
HES,S&P 500
HIG,S&P 500
HNZ,S&P 500
HOG,S&P 500
HON,S&P 500
HOT,S&P 500
HP,S&P 500
HPQ,S&P 500
HRB,S&P 500
HRINX,401k
HRL,S&P 500
HRS,S&P 500
HSP,S&P 500
HST,S&P 500
HSY,S&P 500
HUM,S&P 500
IBM,S&P 500
ICE,S&P 500
IFF,S&P 500
IGT,S&P 500
INTC,"PARWX,S&P 500,401k"
INTU,S&P 500
IP,S&P 500
IPG,S&P 500
IR,S&P 500
IRM,"PARMX,S&P 500,401k"
ISRG,S&P 500
ITW,S&P 500
IVZ,S&P 500
